Metric,Average
Position Accuracy (MSE),2511.7415
Quaternion Orientation Accuracy,0.3971
Color Accuracy,0.3935
Shape Accuracy,0.1135
Color Set Accuracy,0.4455
Shape Set Accuracy,0.1415
F1B Score,0.0955
Failed,31
