Metric,Average
Position Accuracy (MSE),2618.9327
Quaternion Orientation Accuracy,0.5182
Color Accuracy,0.1695
Shape Accuracy,0.1660
Color Set Accuracy,0.2815
Shape Set Accuracy,0.2820
F1B Score,0.0535
Failed,0
