Metric,Average
Position Accuracy (MSE),11485.293716483333
Orientation Accuracy (Geodesic Distance),6.61229944057649e+17
Quaternion Orientation Accuracy,0.4152450380878779
Color Accuracy,0.414
Shape Accuracy,0.1015
Color Set Accuracy,0.4575
Shape Set Accuracy,0.133
F1B Score,0.0855
