Metric,Average
Position Accuracy (MSE),2649.3173333333334
Quaternion Orientation Accuracy,0.5061088618146629
Color Accuracy,0.1625
Shape Accuracy,0.1735
Color Set Accuracy,0.278
Shape Set Accuracy,0.3015
F1B Score,0.06
Failed Genrations,1.0
